Seconds	EE
3220	720.2567547395
3230	968.220968221
3240	891.1521323997
3250	997.8189749182
3260	1004.942339374
3270	898.2346832814
3280	1171.7171717172
3290	486.3683012806
3300	520.6463195691
3310	844.0225756798
3320	869.5652173913
3330	924.7323880513
3340	931.76212661
3350	933.5559996715
3360	874.4208879207
3370	806.6046688176
3380	887.4758086812
3390	821.8040951854
3400	621.2370005473
3410	285.2737085582
3420	399.0671158331
3430	379.5165063686
3440	402.1276595745
3450	449.2753623188
3460	770.7129094412
3470	175.8558558559
3480	204.9282595134
3490	212.8712871287
3500	220.6794682422
3510	9.7583916289
3520	7.9309129362
3530	781.0634741976
3540	894.3575721325
3550	878.8732394366
3560	880.6978052898
3570	891.1449520587
3580	921.5017064846
3590	946.1756373938
3600	954.9371380138
3610	915.1204768701
3620	897.6860886535
3630	446.8219005664
3640	209.3482554312
3650	788.9039738744
3660	1019.8165012449
3670	1031.5443265062
3680	1008.1537197396
3690	1072.3703486669
3700	1060.9521519596
3710	860.3692417996
3720	929.9631063817
3730	839.3369238302
3740	1007.4318744839
3750	1031.6329438587
3760	949.4893734474
3770	1058.394160584
3780	1019.1082802548
3790	364.8881239243
3800	789.28136419
3810	883.9027706952
3820	884.4967377358
3830	919.4516324396
3840	918.4433350801
3850	801.2872083669
3860	925.3997889439
3870	869.3289866884
3880	758.9771490751
3890	390.90444558
3900	412.5494071146
3910	401.5582858855
3920	419.7457877623
3930	604.8290700454
3940	878.998221075
3950	324.5979749851
3960	207.4263764405
3970	146.1949265688
3980	33.6251131905
3990	8.5945072698
4000	182.3361823362
4010	849.6577767288
